file_date,latitude,longitude,time,xco2
01/06/2020,20.645437,106.673485,11:03.2,412.92767
01/06/2020,20.637684,106.66536,11:03.3,413.26535
01/06/2020,20.592165,106.614876,11:03.4,413.48776
01/06/2020,20.664074,106.66883,11:03.6,415.24625
01/06/2020,20.61822,106.61886,11:03.7,415.34323
01/06/2020,20.610754,106.61029,11:03.7,414.92813
01/06/2020,20.67493,106.65615,11:03.9,414.72095
01/06/2020,20.701292,106.65979,11:04.2,414.1649
01/06/2020,20.685753,106.6435,11:04.3,415.3589
01/06/2020,20.678032,106.6352,11:04.3,413.3011
01/06/2020,20.670431,106.62689,11:04.3,414.2233
01/06/2020,20.662857,106.618484,11:04.4,415.28592
01/06/2020,20.655333,106.610016,11:04.4,414.41516
01/06/2020,20.64785,106.60147,11:04.4,413.5531
01/06/2020,20.719885,106.65534,11:04.6,413.93787
01/06/2020,20.712101,106.64726,11:04.6,415.27847
01/06/2020,20.704332,106.63907,11:04.6,414.19885
01/06/2020,20.696604,106.63078,11:04.6,415.3491
01/06/2020,20.688997,106.622475,11:04.7,414.5525
01/06/2020,20.681416,106.61408,11:04.7,415.57962
01/06/2020,20.673883,106.60561,11:04.7,414.9121
01/06/2020,20.666395,106.597084,11:04.7,413.25647
01/06/2020,20.738464,106.65085,11:04.9,415.11105
01/06/2020,20.73067,106.64277,11:04.9,414.87482
01/06/2020,20.72289,106.634575,11:04.9,413.5165
01/06/2020,20.715153,106.62628,11:05.0,406.20132
01/06/2020,20.6924,106.601105,11:05.1,409.8667
01/06/2020,20.684898,106.59257,11:05.1,414.2867
01/06/2020,20.757011,106.64625,11:05.2,411.79953
01/06/2020,20.741425,106.62999,11:05.3,411.4769
01/06/2020,20.703396,106.58803,11:05.4,414.97162
01/06/2020,20.792673,106.586716,11:06.7,412.11984
01/06/2020,20.777569,106.56979,11:06.7,406.67636
01/06/2020,20.811289,106.5821,11:07.0,413.007
01/06/2020,20.879469,106.605774,11:07.6,411.37894
01/06/2020,20.867167,106.568245,11:08.0,407.85776
01/06/2020,20.912022,106.56742,11:08.7,411.793
01/06/2020,21.20489,106.534096,11:13.2,414.88092
29/08/2020,21.40685,107.71772,05:15.7,408.49295
29/08/2020,21.41501,107.71244,05:16.1,407.5805
05/09/2020,20.211233,106.375084,11:07.2,410.89133
05/09/2020,20.20071,106.37527,11:07.3,409.65634
05/09/2020,20.190128,106.37537,11:07.3,409.69073
05/09/2020,20.229885,106.370346,11:07.6,409.87097
05/09/2020,20.219364,106.37054,11:07.6,411.11334
05/09/2020,20.208782,106.370636,11:07.6,410.04025
05/09/2020,20.198175,106.37064,11:07.6,409.40576
05/09/2020,20.18765,106.37055,11:07.7,410.15512
05/09/2020,20.248539,106.36559,11:07.9,408.88507
05/09/2020,20.238014,106.36579,11:07.9,408.7483
05/09/2020,20.227432,106.3659,11:07.9,409.7503
05/09/2020,20.216822,106.365906,11:08.0,410.17783
05/09/2020,20.206295,106.365814,11:08.0,410.62518
05/09/2020,20.195724,106.36563,11:08.0,409.38422
05/09/2020,20.185144,106.36536,11:08.1,409.94815
05/09/2020,20.267185,106.360825,11:08.2,408.6669
05/09/2020,20.256664,106.36104,11:08.3,408.66092
