file_date,latitude,longitude,time,xco2
20/06/2021,20.714497,106.79293,10:28.4,415.50278
20/06/2021,20.719238,106.76997,10:28.7,415.64197
20/06/2021,20.737783,106.765366,10:29.1,416.54764
20/06/2021,20.814384,106.77876,10:30.0,415.37766
20/06/2021,20.7935,106.75145,10:30.1,414.91086
20/06/2021,20.854494,106.80075,10:30.3,414.6582
20/06/2021,20.819061,106.75588,10:30.4,414.43332
20/06/2021,20.81214,106.74672,10:30.4,414.71448
20/06/2021,20.880428,106.804695,10:30.6,416.05664
20/06/2021,20.837708,106.75115,10:30.7,415.83646
20/06/2021,20.830776,106.74201,10:30.7,415.33044
20/06/2021,20.899103,106.79995,10:30.9,414.64114
20/06/2021,20.917728,106.7953,10:31.2,415.047
20/06/2021,20.867933,106.732796,10:31.4,415.29922
20/06/2021,20.907522,106.75537,10:31.7,414.11243
20/06/2021,20.900467,106.746376,10:31.7,414.50317
20/06/2021,20.893463,106.73733,10:31.7,415.13605
20/06/2021,20.886507,106.72821,10:31.7,414.97955
20/06/2021,20.954975,106.78605,10:31.9,417.92593
20/06/2021,20.926107,106.750824,10:32.0,415.94708
20/06/2021,20.919043,106.74185,10:32.0,416.4132
20/06/2021,20.912031,106.73281,10:32.1,415.14407
20/06/2021,20.905064,106.72372,10:32.1,414.22778
20/06/2021,20.944685,106.74632,10:32.3,415.99197
20/06/2021,20.930593,106.72833,10:32.4,414.87122
20/06/2021,20.923618,106.71924,10:32.4,413.70697
20/06/2021,20.970362,106.75077,10:32.6,414.684
20/06/2021,20.963263,106.74184,10:32.7,415.79794
20/06/2021,20.956156,106.73302,10:32.7,416.982
20/06/2021,20.949156,106.72385,10:32.7,415.90613
20/06/2021,20.942175,106.71477,10:32.7,415.964
20/06/2021,20.981903,106.737236,10:33.0,416.958
20/06/2021,20.974825,106.72827,10:33.0,415.6972
20/06/2021,20.967793,106.71927,10:33.1,416.60355
20/06/2021,20.960814,106.71017,10:33.1,416.07175
20/06/2021,21.02954,106.767715,10:33.2,416.88342
20/06/2021,21.022232,106.75907,10:33.3,417.1548
20/06/2021,20.993498,106.72362,10:33.4,416.92032
20/06/2021,20.979475,106.70552,10:33.4,415.39163
20/06/2021,21.048243,106.76306,10:33.6,416.3467
20/06/2021,21.040924,106.75444,10:33.6,416.7387
20/06/2021,21.033642,106.74563,10:33.6,415.88345
20/06/2021,21.026394,106.73678,10:33.6,415.6403
20/06/2021,21.019268,106.72792,10:33.7,414.359
20/06/2021,21.01217,106.71899,10:33.7,416.9712
20/06/2021,20.998129,106.70091,10:33.7,416.82648
20/06/2021,21.066902,106.75858,10:33.9,418.66382
20/06/2021,21.05962,106.74977,10:33.9,415.97934
20/06/2021,21.045063,106.73218,10:34.0,418.11716
20/06/2021,21.037933,106.723305,10:34.0,416.48502
20/06/2021,21.030828,106.71436,10:34.0,416.20682
20/06/2021,21.023775,106.70537,10:34.1,415.5644
20/06/2021,21.016768,106.69631,10:34.1,416.0734
20/06/2021,21.08551,106.75428,10:34.2,417.75024
20/06/2021,21.078218,106.7455,10:34.3,416.00607
20/06/2021,21.07092,106.73672,10:34.3,419.27057
20/06/2021,21.063715,106.727615,10:34.3,417.66586
20/06/2021,21.056581,106.71873,10:34.3,417.30453
20/06/2021,21.049465,106.709816,10:34.4,417.0431
20/06/2021,21.04241,106.700806,10:34.4,416.23206
20/06/2021,21.035397,106.69174,10:34.4,415.0351
20/06/2021,21.104267,106.74934,10:34.6,418.27805
20/06/2021,21.096874,106.740974,10:34.6,416.83527
20/06/2021,21.089514,106.73246,10:34.6,417.82272
20/06/2021,21.082333,106.72322,10:34.6,418.07764
